symbol,price,adr,runup,base_depth,ext10,dvolM,trend200
CAKE,108.36,3.52,76.7,11.4,-2.3,10.5,yes
SBC,4.18,3.54,49.9,15.5,3.4,0.0,yes
AVIR,5.5,3.56,47.1,5.8,0.8,0.1,yes
SCSC,56.17,3.57,40.7,22.2,1.0,0.8,yes
LNSR,8.48,3.6,85.7,10.8,-1.7,0.0,yes
LBRX,47.08,3.62,79.5,6.7,-1.7,0.8,yes
XERS,8.45,3.66,45.3,7.9,-2.0,0.8,yes
PVLA,150.38,3.67,55.7,12.4,1.2,1.2,yes
PCOR,60.37,3.67,70.3,8.4,-3.1,11.1,yes
OPHC,8.96,3.68,83.9,16.2,-2.4,0.0,yes
ILMN,207.19,3.7,49.0,15.3,-4.7,26.7,yes
QURE,47.85,3.7,100.9,10.1,-2.4,2.9,yes
GDYN,7.87,3.73,61.1,8.1,-0.5,1.0,yes
CBLL,24.58,3.75,58.5,8.8,2.2,0.5,yes
BILL,47.61,3.75,59.9,7.6,-1.4,6.9,yes
FRSH,13.47,3.77,62.2,9.6,1.3,5.9,yes
TALO,17.26,3.78,43.6,13.2,1.2,2.2,yes
ASMB,35.14,3.8,69.1,11.2,1.8,0.5,yes
IT,189.81,3.82,63.2,8.9,-3.0,11.9,yes
MLAB,125.66,3.89,47.3,12.4,0.2,1.2,yes
VOXR,5.34,3.92,46.0,11.8,-4.9,0.2,yes
CSTL,33.46,3.93,76.3,16.2,-0.5,0.7,yes
TGTX,56.19,4.01,43.6,13.4,3.5,4.9,yes
VOR,22.66,4.01,94.4,10.3,-2.2,0.8,yes
CARL,16.34,4.02,79.5,14.0,0.6,0.1,yes
NIQ,18.73,4.04,145.5,10.0,-0.6,1.7,yes
AKTS,26.0,4.04,47.2,14.8,1.4,0.4,n/a
SRRK,55.88,4.05,42.5,12.4,-2.7,4.0,yes
TRI,106.38,4.07,43.3,7.0,0.7,10.5,yes
PPHC,10.94,4.18,60.5,12.6,1.2,0.1,n/a
IBTA,37.38,4.24,64.1,8.1,-0.3,0.4,yes
ZLAB,25.3,4.24,67.9,9.0,-2.8,1.9,yes
SLDB,9.87,4.34,61.7,14.0,2.5,0.5,yes
GO,12.11,4.37,46.5,12.9,2.3,2.5,yes
UUU,5.42,4.41,107.3,29.5,-7.2,0.0,yes
CCC,7.24,4.42,81.6,7.8,-2.6,5.0,yes
MNPR,117.52,4.42,110.9,15.2,3.4,1.0,yes
VIA,27.54,4.45,107.0,13.5,0.1,1.0,yes
LB,85.75,4.47,53.6,13.9,-1.4,2.0,yes
ACHV,8.24,4.47,78.3,11.4,1.2,0.7,yes
SMWB,8.79,4.49,138.9,15.3,-0.0,0.6,yes
MGTX,14.18,4.49,71.1,10.7,-1.6,0.6,yes
PSNL,17.06,4.52,107.5,23.5,0.2,3.4,yes
PRPO,27.73,4.56,59.5,21.1,-4.7,0.2,yes
ZBIO,31.94,4.59,97.5,12.2,-0.8,1.3,yes
XGN,7.14,4.6,95.3,15.2,-5.3,0.1,yes
ETON,60.39,4.6,130.2,11.8,-2.2,1.6,yes
CGEM,21.78,4.63,98.2,9.2,-1.6,0.7,yes
SPT,11.47,4.63,93.5,17.2,7.1,1.9,yes
ACOG,9.03,4.7,70.6,15.1,-4.4,0.0,yes
UFI,7.39,4.73,112.1,14.0,-2.5,0.0,yes
CXW,32.7,4.75,47.2,10.0,-2.1,3.2,yes
TIC,9.3,4.76,53.8,12.3,-1.9,1.6,yes
OBIO,4.89,4.76,62.2,15.3,-7.0,0.1,yes
ANRO,35.01,4.78,107.0,9.2,-1.3,0.8,yes
HOOD,103.5,4.81,42.4,18.0,-1.0,57.7,yes
SCZM,9.21,4.82,83.5,15.0,-4.1,0.2,n/a
OMER,18.74,4.86,186.1,12.0,-0.5,2.0,yes
CLF,11.53,4.92,40.0,15.8,1.1,7.1,yes
MNDY,96.46,4.93,52.5,12.5,1.5,6.7,yes
CHYM,31.67,4.93,115.0,7.7,-3.5,22.9,yes
SGHT,8.18,4.96,96.4,8.9,-2.1,0.1,yes
UROY,4.15,5.04,74.8,9.8,-2.8,0.6,yes
ASM,7.01,5.07,53.2,12.2,-5.8,1.3,yes
CTNM,16.56,5.08,56.6,16.5,-0.8,0.5,yes
ARTV,11.27,5.1,78.9,12.9,-1.6,0.2,yes
CRBP,11.29,5.14,53.9,14.9,4.8,0.3,yes
EXK,10.24,5.14,60.2,11.7,-5.5,5.2,yes
AVAH,13.47,5.15,112.8,10.8,0.4,3.2,yes
NUVB,6.63,5.16,69.2,14.3,-3.6,2.4,yes
CMPS,13.23,5.18,41.5,12.8,-5.4,1.8,yes
KURA,12.88,5.26,65.3,17.5,1.9,1.3,yes
HTFL,50.41,5.35,113.7,12.6,3.4,5.2,yes
CADL,12.84,5.43,76.3,11.9,-2.3,0.7,yes
GLBS,3.83,5.5,83.5,11.3,3.3,0.0,yes
PGEN,6.87,5.53,119.5,14.3,-4.0,3.0,yes
ALVO,5.26,5.55,77.0,29.7,9.2,0.4,yes
SANA,3.83,5.62,61.5,11.9,-2.9,0.6,yes
BULL,9.13,5.63,84.8,20.3,1.4,7.3,yes
BBNX,19.07,5.74,59.3,9.6,-2.4,0.9,yes
TWST,132.09,5.92,133.4,15.9,-7.8,13.5,yes
KRO,8.38,5.92,57.8,12.7,-2.1,0.2,yes
SMCI,36.71,5.92,68.7,13.6,-1.0,75.7,yes
ODTX,24.56,6.02,79.5,18.5,-2.2,0.2,n/a
SGMT,10.51,6.14,75.6,9.4,0.7,0.7,yes
TKNO,7.03,6.18,83.1,7.9,-2.7,0.1,yes
NMAX,10.39,6.25,80.4,11.6,-2.9,0.5,yes
VSTM,7.62,6.28,129.0,15.6,6.1,1.0,yes
TXG,59.98,6.3,138.5,13.1,-5.2,10.5,yes
TMCI,4.6,6.36,44.7,12.9,0.3,0.1,yes
SENS,9.38,6.37,108.1,11.8,0.7,0.3,yes
MRVI,7.32,6.64,93.7,27.9,-10.1,2.7,yes
AMLX,33.83,6.85,225.6,19.7,-8.4,5.7,yes
BTGO,6.93,6.87,58.1,26.6,0.8,0.6,n/a
FDMT,14.35,7.12,101.8,19.2,-6.4,0.9,yes
ADIL,5.88,7.18,200.9,25.6,3.0,0.0,yes
AGPU,9.51,7.28,87.5,16.8,-7.1,0.1,yes
TEM,62.23,7.29,78.9,24.8,-6.3,14.9,yes
REPL,15.67,7.42,238.2,14.1,3.1,2.7,yes
LIFE,34.98,7.49,168.8,22.0,-4.0,2.4,n/a
