symbol,price,adr,runup,base_depth,ext10,dvolM,trend200
AEM,196.66,3.52,67.0,13.9,-6.3,729.7,yes
MAN,60.27,3.55,105.6,7.6,-2.3,51.3,yes
CERT,8.28,3.58,79.0,11.3,-0.1,21.3,yes
AU,107.83,3.58,68.1,13.3,-6.9,314.7,yes
MKDW,11.47,3.59,50.6,11.8,2.0,0.0,yes
FIVE,243.08,3.6,52.4,11.1,-2.4,264.1,yes
CGAU,22.26,3.6,66.9,11.4,-4.6,36.4,yes
DASH,226.24,3.62,63.5,9.6,-1.5,991.2,yes
IMAX,51.68,3.66,50.6,10.0,-1.2,56.6,yes
AII,26.1,3.66,62.6,9.2,0.2,4.9,yes
TPG,52.32,3.67,42.7,6.2,-1.1,158.0,yes
NSIT,152.06,3.72,55.3,10.5,0.3,49.0,yes
OGC,29.09,3.73,45.7,12.1,-4.0,16.2,n/a
CMCL,25.61,3.74,65.6,8.0,1.6,4.7,yes
CAKE,108.57,3.77,73.5,11.5,-2.4,198.5,yes
TRI,105.87,3.78,43.5,6.7,0.1,170.4,yes
FRSH,13.19,3.86,62.3,10.2,-0.9,73.5,yes
KRT,47.38,3.9,74.6,9.0,-2.2,7.7,yes
NP,33.28,3.91,42.1,9.7,-0.7,13.0,yes
SSRM,37.75,3.95,63.1,11.2,-0.1,95.8,yes
PCOR,59.49,3.95,70.4,8.9,-4.0,173.2,yes
GDYN,7.85,3.96,61.4,8.2,-0.5,10.7,yes
BLKB,47.47,4.01,93.7,7.4,-0.5,20.2,yes
HBM,27.32,4.02,56.5,13.1,-6.2,128.6,yes
EPC,28.4,4.03,46.9,8.9,-0.3,14.4,yes
HRTG,34.35,4.03,65.4,8.9,0.9,10.5,yes
IAG,20.2,4.03,63.9,13.8,-3.5,118.8,yes
RGEN,172.94,4.03,51.2,11.3,-3.2,169.7,yes
GSHD,68.8,4.07,119.8,10.0,-2.8,18.9,yes
TBI,10.2,4.18,80.5,9.2,-3.0,3.1,yes
BTG,5.41,4.18,65.3,12.9,-3.1,170.1,yes
ILMN,213.25,4.2,49.0,13.6,-2.3,376.6,yes
