symbol,price,adr,runup,base_depth,ext10,dvolM,trend200
AVPT,13.13,3.56,42.3,10.2,-0.6,25.4,yes
CLAR,3.61,3.57,41.6,10.8,-2.5,0.4,yes
GLBE,40.79,3.66,52.2,9.9,-1.5,62.9,yes
PRGS,43.21,3.7,65.6,7.4,-0.5,19.8,yes
KINS,19.62,3.76,41.0,10.2,0.5,2.1,yes
SMHI,9.77,3.79,58.0,6.7,0.3,1.2,yes
SN,179.98,3.82,66.5,7.2,-2.5,314.7,yes
ICFI,89.07,3.88,51.9,9.7,-0.8,20.2,yes
IDCC,341.93,3.94,41.7,6.2,-0.6,77.1,yes
HP,44.1,3.96,48.0,19.0,2.9,51.7,yes
ALKT,19.9,3.98,50.6,8.3,-1.0,26.0,yes
WEYS,44.9,3.98,44.3,11.4,-2.2,1.1,yes
KRT,47.57,3.99,91.5,11.8,-1.0,7.2,yes
EVTC,29.73,3.99,46.9,9.2,-1.7,12.4,yes
NTAP,192.81,3.99,52.1,10.8,-3.5,472.3,yes
ARES,140.22,4.0,41.7,10.3,-1.1,333.1,yes
CARG,36.89,4.0,53.9,13.6,-0.5,34.4,yes
AII,25.54,4.0,59.1,21.9,9.5,3.4,yes
FTDR,81.94,4.03,56.9,13.0,-3.1,44.3,yes
CACI,646.35,4.09,57.2,10.2,-2.0,180.7,yes
QNST,20.37,4.1,96.4,13.8,-2.3,19.8,yes
MGNI,23.35,4.1,93.1,8.9,-3.8,66.6,yes
PUBM,16.39,4.15,75.8,11.6,-5.3,13.0,yes
III,4.93,4.17,42.2,9.9,-2.9,1.2,yes
EPC,27.56,4.2,76.1,9.1,-2.7,16.9,yes
HRTG,33.63,4.22,78.2,8.7,1.1,11.4,yes
GRND,15.66,4.23,71.7,12.0,-2.0,30.0,yes
GEO,31.72,4.25,45.9,8.2,2.1,57.9,yes
MCS,29.61,4.3,68.7,8.7,-0.9,11.0,yes
EXPE,324.17,4.32,55.0,9.2,0.6,504.6,yes
RDNT,77.05,4.33,55.2,13.8,1.5,54.9,yes
ATNI,31.23,4.34,46.9,9.2,-1.2,2.5,yes
SHOP,147.18,4.35,53.0,9.3,-2.6,1579.4,yes
RYAN,43.04,4.36,49.4,7.2,1.7,94.9,yes
SNOW,321.29,4.37,97.6,7.5,-2.6,1532.5,yes
SBH,16.23,4.43,47.1,8.3,-1.9,24.4,yes
DYN,25.98,4.47,64.9,7.5,-0.9,55.9,yes
EAT,233.1,4.52,90.5,13.4,-0.4,252.1,yes
HRB,53.04,4.55,74.8,22.8,4.7,133.5,yes
ATI,209.22,4.55,47.6,14.9,-7.2,327.4,yes
PLTR,173.96,4.58,69.4,11.2,0.0,7284.2,yes
DGII,73.61,4.58,45.1,16.7,-10.0,28.6,yes
SWIM,7.09,4.61,54.2,13.2,-3.5,6.5,yes
FOXF,21.33,4.64,40.9,10.5,0.7,12.8,yes
