ticker,exchange,signal,score,runup_pct,close,reason,as_of_utc
A,,PASS,30,30.2,148.44,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AA,,PASS,39,38.5,50.02,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AACB,,PASS,0,,10.58,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AACI,,PASS,0,,10.05,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AACO,,PASS,0,,,Not enough daily data,2026-08-19 01:48:54 UTC
AACOU,,PASS,0,,10.13,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AACT,,PASS,43,43.3,4.01,"Triangle occurred on 2026-04-28, not within last 5 bars",2026-08-19 01:48:54 UTC
AAL,,PASS,41,41.2,14.05,"Triangle occurred on 2026-07-21, not within last 5 bars",2026-08-19 01:48:54 UTC
AAME,,PASS,0,,1.4,Price below minimum ($2.00),2026-08-19 01:48:54 UTC
AAMI,,PASS,35,34.8,91.83,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AAOI,,PASS,112,111.8,131.41,Run-up triggered but EMA stack failed on run-up top (EMA10>EMA20>EMA50),2026-08-19 01:48:54 UTC
AAON,,PASS,74,74.0,82.06,"Triangle occurred on 2026-05-21, not within last 5 bars",2026-08-19 01:48:54 UTC
AAP,,PASS,63,63.3,56.96,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AAPG,,PASS,47,46.8,18.2,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AAPL,,PASS,0,,310.03,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AAQC,,PASS,0,,10.12,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AARD,,PASS,133,133.1,6.14,"Triangle occurred on 2026-07-20, not within last 5 bars",2026-08-19 01:48:54 UTC
AAT,,PASS,0,,22.6,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AATC,,PASS,32,32.2,5.71,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
AAUC,,PASS,37,37.4,20.99,Run-up triggered but EMA stack failed on run-up top (EMA10>EMA20>EMA50),2026-08-19 01:48:54 UTC
ABAT,,PASS,44,43.9,2.35,"Triangle occurred on 2026-06-08, not within last 5 bars",2026-08-19 01:48:54 UTC
ABBV,,PASS,0,,258.92,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABCB,,PASS,33,32.5,88.2,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABCL,,PASS,68,68.1,11.12,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABEO,,PASS,31,31.2,6.16,"Triangle occurred on 2026-07-22, not within last 5 bars",2026-08-19 01:48:54 UTC
ABEV,,PASS,0,,2.78,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABG,,PASS,34,33.7,203.94,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABL,,PASS,36,36.4,9.01,"Triangle occurred on 2026-07-14, not within last 5 bars",2026-08-19 01:48:54 UTC
ABM,,PASS,0,,47.1,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABNB,,PASS,0,,183.25,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABOS,,PASS,38,37.5,2.74,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABR,,PASS,0,,4.9,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABR-D,,PASS,0,,15.76,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABSI,,PASS,99,98.6,8.85,"Triangle occurred on 2026-07-27, not within last 5 bars",2026-08-19 01:48:54 UTC
ABT,,PASS,0,,112.68,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABUS,,PASS,37,37.4,4.84,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ABVX,,PASS,98,97.9,118.94,"Triangle occurred on 2026-07-17, not within last 5 bars",2026-08-19 01:48:54 UTC
ABX,,PASS,36,36.4,9.01,"Triangle occurred on 2026-07-14, not within last 5 bars",2026-08-19 01:48:54 UTC
ACA,,PASS,0,,145.35,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACAA,,PASS,0,,,Not enough daily data,2026-08-19 01:48:54 UTC
ACAD,,PASS,31,31.0,30.18,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACB,,PASS,46,45.7,3.67,"Triangle occurred on 2025-12-23, not within last 5 bars",2026-08-19 01:48:54 UTC
ACCO,,PASS,34,34.4,4.28,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACCS,,PASS,37,36.9,4.94,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACDC,,PASS,36,35.9,5.09,"Triangle occurred on 2026-05-26, not within last 5 bars",2026-08-19 01:48:54 UTC
ACEL,,PASS,32,32.1,11.94,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACET,,PASS,34,33.6,9.11,"Triangle occurred on 2026-06-04, not within last 5 bars",2026-08-19 01:48:54 UTC
ACFN,,PASS,42,41.9,19.43,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACGL,,PASS,0,,98.91,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACH,,PASS,0,,1.13,Price below minimum ($2.00),2026-08-19 01:48:54 UTC
ACHC,,PASS,40,40.1,27.46,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACHR,,PASS,58,58.4,6.32,Run-up triggered but EMA stack failed on run-up top (EMA10>EMA20>EMA50),2026-08-19 01:48:54 UTC
ACHV,,PASS,48,47.5,7.52,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACI,,PASS,0,,12.21,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACIC,,PASS,34,34.1,9.51,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACIU,,PASS,32,31.7,2.57,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACIW,,PASS,41,41.4,52.17,"Triangle occurred on 2026-08-03, not within last 5 bars",2026-08-19 01:48:54 UTC
ACLS,,PASS,32,31.8,135.39,"Triangle occurred on 2026-06-26, not within last 5 bars",2026-08-19 01:48:54 UTC
ACLX,,PASS,0,,,**symbol** not found: ACLX. Please specify it correctly according to API Documentation.,2026-08-19 01:48:54 UTC
ACM,,PASS,0,,61.72,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACMR,,PASS,37,36.6,84.37,"Triangle occurred on 2026-08-06, not within last 5 bars",2026-08-19 01:48:54 UTC
ACN,,PASS,0,,172.93,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACNB,,PASS,0,,64.19,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACNT,,PASS,35,34.9,15.12,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACOG,,PASS,41,40.8,8.57,"Triangle occurred on 2026-07-23, not within last 5 bars",2026-08-19 01:48:54 UTC
ACON,,PASS,46,46.1,2.6,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACR,,PASS,35,35.4,14.84,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACR-D,,PASS,0,,20.67,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACRE,,PASS,44,44.3,4.63,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACRS,,PASS,30,30.0,6.3,"Triangle occurred on 2026-08-11, not within last 5 bars",2026-08-19 01:48:54 UTC
ACRV,,PASS,58,58.5,2.05,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACST,,PASS,30,30.3,2.13,Run-up triggered but EMA stack failed on run-up top (EMA10>EMA20>EMA50),2026-08-19 01:48:54 UTC
ACT,,PASS,0,,50.04,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACTG,,PASS,31,30.6,4.67,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACTU,,PASS,0,,1.06,Price below minimum ($2.00),2026-08-19 01:48:54 UTC
ACU,,PASS,33,32.6,62.83,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACVA,,PASS,37,37.0,7.63,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ACXP,,PASS,0,,1.44,Price below minimum ($2.00),2026-08-19 01:48:54 UTC
AD,,PASS,352,351.9,35.05,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADAG,,WATCH,37,36.9,4.08,"Triangle on 2026-08-13 (last 5 bars) + higher low after; EMA10 touched 3 bars; breakout 2026-08-05, top 2026-08-07, pullback-trigger 2026-08-10",2026-08-19 01:48:54 UTC
ADAM,,PASS,0,,10.09,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADAMH,,PASS,0,,25.48,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADAML,,PASS,0,,24.91,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADAMM,,PASS,0,,25.49,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADAMN,,PASS,0,,24.86,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADAMZ,,PASS,0,,18.62,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADBE,,PASS,0,,263.14,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADC,,PASS,0,,74.21,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADCT,,PASS,0,,1.03,Price below minimum ($2.00),2026-08-19 01:48:54 UTC
ADD,,PASS,0,,0.01,Price below minimum ($2.00),2026-08-19 01:48:54 UTC
ADEA,,PASS,40,39.9,28.02,Run-up triggered but EMA stack failed on run-up top (EMA10>EMA20>EMA50),2026-08-19 01:48:54 UTC
ADI,,PASS,0,,376.63,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADIL,,PASS,100,99.6,5.45,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADM,,PASS,0,,82.45,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADMA,,PASS,37,36.5,9.54,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADNT,,PASS,34,34.4,19.48,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADP,,PASS,0,,269.31,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADPT,,PASS,43,43.4,24.56,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADSE,,PASS,31,30.5,11.99,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
ADSK,,PASS,0,,246.79,Breakout seen but no run-up trigger (pullback/run-up thresholds not met),2026-08-19 01:48:54 UTC
